Gregorian Date,Chinese year (Gan-Zhi),Chinese year (Zodiac),Lunar month,Lunar Date
1-Jan-27,丙午年,馬,十一月,廿四
2-Jan-27,丙午年,馬,十一月,廿五
3-Jan-27,丙午年,馬,十一月,廿六
4-Jan-27,丙午年,馬,十一月,廿七
5-Jan-27,丙午年,馬,十一月,廿八
6-Jan-27,丙午年,馬,十一月,廿九
7-Jan-27,丙午年,馬,十一月,三十
8-Jan-27,丙午年,馬,十二月,初一
9-Jan-27,丙午年,馬,十二月,初二
10-Jan-27,丙午年,馬,十二月,初三
11-Jan-27,丙午年,馬,十二月,初四
12-Jan-27,丙午年,馬,十二月,初五
13-Jan-27,丙午年,馬,十二月,初六
14-Jan-27,丙午年,馬,十二月,初七
15-Jan-27,丙午年,馬,十二月,初八
16-Jan-27,丙午年,馬,十二月,初九
17-Jan-27,丙午年,馬,十二月,初十
18-Jan-27,丙午年,馬,十二月,十一
19-Jan-27,丙午年,馬,十二月,十二
20-Jan-27,丙午年,馬,十二月,十三
21-Jan-27,丙午年,馬,十二月,十四
22-Jan-27,丙午年,馬,十二月,十五
23-Jan-27,丙午年,馬,十二月,十六
24-Jan-27,丙午年,馬,十二月,十七
25-Jan-27,丙午年,馬,十二月,十八
26-Jan-27,丙午年,馬,十二月,十九
27-Jan-27,丙午年,馬,十二月,二十
28-Jan-27,丙午年,馬,十二月,廿一
29-Jan-27,丙午年,馬,十二月,廿二
30-Jan-27,丙午年,馬,十二月,廿三
31-Jan-27,丙午年,馬,十二月,廿四
1-Feb-27,丙午年,馬,十二月,廿五
2-Feb-27,丙午年,馬,十二月,廿六
3-Feb-27,丙午年,馬,十二月,廿七
4-Feb-27,丙午年,馬,十二月,廿八
5-Feb-27,丙午年,馬,十二月,廿九
6-Feb-27,丁未年,羊,正月,初一
7-Feb-27,丁未年,羊,正月,初二
8-Feb-27,丁未年,羊,正月,初三
9-Feb-27,丁未年,羊,正月,初四
10-Feb-27,丁未年,羊,正月,初五
11-Feb-27,丁未年,羊,正月,初六
12-Feb-27,丁未年,羊,正月,初七
13-Feb-27,丁未年,羊,正月,初八
14-Feb-27,丁未年,羊,正月,初九
15-Feb-27,丁未年,羊,正月,初十
16-Feb-27,丁未年,羊,正月,十一
17-Feb-27,丁未年,羊,正月,十二
18-Feb-27,丁未年,羊,正月,十三
19-Feb-27,丁未年,羊,正月,十四
20-Feb-27,丁未年,羊,正月,十五
21-Feb-27,丁未年,羊,正月,十六
22-Feb-27,丁未年,羊,正月,十七
23-Feb-27,丁未年,羊,正月,十八
24-Feb-27,丁未年,羊,正月,十九
25-Feb-27,丁未年,羊,正月,二十
26-Feb-27,丁未年,羊,正月,廿一
27-Feb-27,丁未年,羊,正月,廿二
28-Feb-27,丁未年,羊,正月,廿三
1-Mar-27,丁未年,羊,正月,廿四
2-Mar-27,丁未年,羊,正月,廿五
3-Mar-27,丁未年,羊,正月,廿六
4-Mar-27,丁未年,羊,正月,廿七
5-Mar-27,丁未年,羊,正月,廿八
6-Mar-27,丁未年,羊,正月,廿九
7-Mar-27,丁未年,羊,正月,三十
8-Mar-27,丁未年,羊,二月,初一
9-Mar-27,丁未年,羊,二月,初二
10-Mar-27,丁未年,羊,二月,初三
11-Mar-27,丁未年,羊,二月,初四
12-Mar-27,丁未年,羊,二月,初五
13-Mar-27,丁未年,羊,二月,初六
14-Mar-27,丁未年,羊,二月,初七
15-Mar-27,丁未年,羊,二月,初八
16-Mar-27,丁未年,羊,二月,初九
17-Mar-27,丁未年,羊,二月,初十
18-Mar-27,丁未年,羊,二月,十一
19-Mar-27,丁未年,羊,二月,十二
20-Mar-27,丁未年,羊,二月,十三
21-Mar-27,丁未年,羊,二月,十四
22-Mar-27,丁未年,羊,二月,十五
23-Mar-27,丁未年,羊,二月,十六
24-Mar-27,丁未年,羊,二月,十七
25-Mar-27,丁未年,羊,二月,十八
26-Mar-27,丁未年,羊,二月,十九
27-Mar-27,丁未年,羊,二月,二十
28-Mar-27,丁未年,羊,二月,廿一
29-Mar-27,丁未年,羊,二月,廿二
30-Mar-27,丁未年,羊,二月,廿三
31-Mar-27,丁未年,羊,二月,廿四
1-Apr-27,丁未年,羊,二月,廿五
2-Apr-27,丁未年,羊,二月,廿六
3-Apr-27,丁未年,羊,二月,廿七
4-Apr-27,丁未年,羊,二月,廿八
5-Apr-27,丁未年,羊,二月,廿九
6-Apr-27,丁未年,羊,二月,三十
7-Apr-27,丁未年,羊,三月,初一
8-Apr-27,丁未年,羊,三月,初二
9-Apr-27,丁未年,羊,三月,初三
10-Apr-27,丁未年,羊,三月,初四
11-Apr-27,丁未年,羊,三月,初五
12-Apr-27,丁未年,羊,三月,初六
13-Apr-27,丁未年,羊,三月,初七
14-Apr-27,丁未年,羊,三月,初八
15-Apr-27,丁未年,羊,三月,初九
16-Apr-27,丁未年,羊,三月,初十
17-Apr-27,丁未年,羊,三月,十一
18-Apr-27,丁未年,羊,三月,十二
19-Apr-27,丁未年,羊,三月,十三
20-Apr-27,丁未年,羊,三月,十四
21-Apr-27,丁未年,羊,三月,十五
22-Apr-27,丁未年,羊,三月,十六
23-Apr-27,丁未年,羊,三月,十七
24-Apr-27,丁未年,羊,三月,十八
25-Apr-27,丁未年,羊,三月,十九
26-Apr-27,丁未年,羊,三月,二十
27-Apr-27,丁未年,羊,三月,廿一
28-Apr-27,丁未年,羊,三月,廿二
29-Apr-27,丁未年,羊,三月,廿三
30-Apr-27,丁未年,羊,三月,廿四
1-May-27,丁未年,羊,三月,廿五
2-May-27,丁未年,羊,三月,廿六
3-May-27,丁未年,羊,三月,廿七
4-May-27,丁未年,羊,三月,廿八
5-May-27,丁未年,羊,三月,廿九
6-May-27,丁未年,羊,四月,初一
7-May-27,丁未年,羊,四月,初二
8-May-27,丁未年,羊,四月,初三
9-May-27,丁未年,羊,四月,初四
10-May-27,丁未年,羊,四月,初五
11-May-27,丁未年,羊,四月,初六
12-May-27,丁未年,羊,四月,初七
13-May-27,丁未年,羊,四月,初八
14-May-27,丁未年,羊,四月,初九
15-May-27,丁未年,羊,四月,初十
16-May-27,丁未年,羊,四月,十一
17-May-27,丁未年,羊,四月,十二
18-May-27,丁未年,羊,四月,十三
19-May-27,丁未年,羊,四月,十四
20-May-27,丁未年,羊,四月,十五
21-May-27,丁未年,羊,四月,十六
22-May-27,丁未年,羊,四月,十七
23-May-27,丁未年,羊,四月,十八
24-May-27,丁未年,羊,四月,十九
25-May-27,丁未年,羊,四月,二十
